"","NOMBRE","FIGURA","PR_1980","PR_2018"
"29","Valles Occidentales","Parque Natural",1707.1199798584,1889.29000244141
"67","Valles Occidentales","Parque Natural",2195.60999755859,2209.60997924805
"68","Valles Occidentales","Parque Natural",2199.96999511719,2178.49000854492
"69","Valles Occidentales","Parque Natural",2272.5799987793,2315.17000732422
"70","Valles Occidentales","Parque Natural",2043.65000610352,2242.1200012207
"71","Valles Occidentales","Parque Natural",2106.48999023438,2333.60997314453
"72","Valles Occidentales","Parque Natural",2290.82001953125,2446.92996826172
"73","Valles Occidentales","Parque Natural",1972.09000854492,2193.61000976562
"74","Valles Occidentales","Parque Natural",2127.88997192383,2393.61999511719
"75","Ordesa y Monte Perdido","Parque Nacional",1454.76998901367,1626.19000244141
"76","Ordesa y Monte Perdido","Parque Nacional",1648.12000732422,1830.07001953125
"77","Ordesa y Monte Perdido","Parque Nacional",1471.44001464844,1644.8700012207
"78","Ordesa y Monte Perdido","Parque Nacional",1804.79999389648,2017.43998413086
"79","Ordesa y Monte Perdido","Parque Nacional",1440.12000732422,1616.16999511719
"80","Ordesa y Monte Perdido","Parque Nacional",1339.22998657227,1504.78999023437
"81","Ordesa y Monte Perdido","Parque Nacional",1277.0299987793,1435.20000915527
"82","Posets-Maladeta","Parque Natural",1605.50999755859,1797.39001464844
"83","Posets-Maladeta","Parque Natural",1783.62998046875,2048.05
"84","Posets-Maladeta","Parque Natural",1434.92999267578,1635.09998168945
"85","Posets-Maladeta","Parque Natural",1473.40000610352,1755.13999023438
"86","Posets-Maladeta","Parque Natural",1630.50001831055,1956.46997680664
"87","Posets-Maladeta","Parque Natural",1629.74001159668,1965.58000488281
"88","Posets-Maladeta","Parque Natural",1630.67000427246,2030.01002197266
"89","Posets-Maladeta","Parque Natural",1358.76998901367,1581.8299987793
"90","Posets-Maladeta","Parque Natural",1522.81998901367,1825.96999511719
"91","Sierra y los Cañones de Guara","Parque Natural",742.849992370605,1105.8699924469
"92","Sierra y los Cañones de Guara","Parque Natural",829.710003662109,1180.90998868942
"93","Sierra y los Cañones de Guara","Parque Natural",672.789987182617,879.2200050354
"94","Sierra y los Cañones de Guara","Parque Natural",742.660005950928,986.159997558594
"95","Sierra y los Cañones de Guara","Parque Natural",836.750000762939,1089.09000244141
"96","Moncayo","Parque Natural",654.060000610352,1110.06000366211
"97","Moncayo","Parque Natural",643.790004730225,1094.79000244141
"98","Moncayo","Parque Natural",554.959998321533,939.330001831055
"99","Moncayo","Parque Natural",571.220001983643,964.129995727539
"100","Moncayo","Parque Natural",587.809998321533,996.570001220703
