"","NOMBRE","FIGURA","TMIN_1980","TMIN_2018"
"29","Valles Occidentales","Parque Natural",0.433333309988181,2.38333330551783
"67","Valles Occidentales","Parque Natural",1.02500001589457,2.89999994138877
"68","Valles Occidentales","Parque Natural",0.23333336164554,2.13333330800136
"69","Valles Occidentales","Parque Natural",-2.91666669243326,-1.01666664332151
"70","Valles Occidentales","Parque Natural",0.683333277702332,2.56666659719
"71","Valles Occidentales","Parque Natural",-2.81666667759418,-0.891666705409686
"72","Valles Occidentales","Parque Natural",-0.633333327869574,1.25833336015542
"73","Valles Occidentales","Parque Natural",-1.13333332290252,0.775000025828679
"74","Valles Occidentales","Parque Natural",-3.78333330154419,-1.85833325982094
"75","Ordesa y Monte Perdido","Parque Nacional",-0.441666646239658,1.41666669150194
"76","Ordesa y Monte Perdido","Parque Nacional",-4.53333342820406,-2.65833336114883
"77","Ordesa y Monte Perdido","Parque Nacional",-2.50833334525426,-0.691666652758916
"78","Ordesa y Monte Perdido","Parque Nacional",-7.67500004172325,-5.79166658222675
"79","Ordesa y Monte Perdido","Parque Nacional",-2.39999994635582,-0.566666632890701
"80","Ordesa y Monte Perdido","Parque Nacional",-0.258333345254262,1.60833332935969
"81","Ordesa y Monte Perdido","Parque Nacional",-1.1000000188748,0.691666652758916
"82","Posets-Maladeta","Parque Natural",-4.7583332657814,-2.78333338101705
"83","Posets-Maladeta","Parque Natural",-8.20833326627811,-6.22499992450078
"84","Posets-Maladeta","Parque Natural",-6.44166665275892,-4.47499996423721
"85","Posets-Maladeta","Parque Natural",-0.974999902149042,0.958333303531011
"86","Posets-Maladeta","Parque Natural",-4.43333333233992,-2.44999991854032
"87","Posets-Maladeta","Parque Natural",-7.49999993046125,-5.49166664977868
"88","Posets-Maladeta","Parque Natural",-8.08333335568508,-6.08333330601454
"89","Posets-Maladeta","Parque Natural",-1.83333327372869,0.141666700442632
"90","Posets-Maladeta","Parque Natural",-5.86666669448217,-3.89166663090388
"91","Sierra y los Cañones de Guara","Parque Natural",1.61666661997636,3.46666669100523
"92","Sierra y los Cañones de Guara","Parque Natural",-1.50000003973643,0.183333297570546
"93","Sierra y los Cañones de Guara","Parque Natural",4.41666658719381,6.19166669994593
"94","Sierra y los Cañones de Guara","Parque Natural",1.96666669100523,3.70833332588275
"95","Sierra y los Cañones de Guara","Parque Natural",3.32500005016724,5.033333404921
"96","Moncayo","Parque Natural",0.733333331843217,2.45000000204891
"97","Moncayo","Parque Natural",0.283333383500576,2.03333342323701
"98","Moncayo","Parque Natural",3.3333333854874,5.11666668206453
"99","Moncayo","Parque Natural",2.97499992605299,4.74166672428449
"100","Moncayo","Parque Natural",1.77499994635582,3.54166664586713
